Date,Hive,Treatment,Colour,Total,Emerge time,
19.11.19,Bio_3b,Ringers,Blue,32,1.56,Forced removal
19.11.19,Bio_3b,LPS,Pink,35,2.22,Forced removal
19.11.19,Bio_3b,Unstabbed,White,33,3.1,Forced removal
19.11.19,Bio_3b,Ringers,Blue,32,3.43,Forced removal
19.11.19,Bio_3b,Ringers,Blue,32,3.52,Forced removal
19.11.19,Bio_3b,LPS,Pink,35,4.05,Forced removal
19.11.19,Bio_3b,Ringers,Blue,32,4.07,Forced removal
19.11.19,Bio_3b,HT_LPS,Red,27,4.32,Forced removal
19.11.19,Bio_3b,Unstabbed,White,33,4.34,Forced removal
19.11.19,Bio_3b,HT_LPS,Red,27,4.41,Assisted self-removal
19.11.19,Bio_3b,HT_LPS,Red,27,5.05,Forced removal
19.11.19,Bio_3b,LPS,Pink,35,5.11,Self- removal
19.11.19,Bio_3b,Unstabbed,White,33,5.13,Forced removal
19.11.19,Bio_3b,HT_LPS,Red,27,5.28,Forced removal
19.11.19,Bio_3b,HT_LPS,Red,27,5.29,Forced removal
19.11.19,Bio_3b,LPS,Pink,35,6.01,Forced removal
19.11.19,Bio_3b,Ringers,Blue,32,6.01,Self- removal
19.11.19,Bio_3b,LPS,Pink,35,6.2,Forced removal
19.11.19,Bio_3b,LPS,Pink,35,6.34,Self- removal
19.11.19,Bio_3b,Ringers,Blue,32,6.45,Forced removal
19.11.19,Bio_3b,LPS,Pink,35,7.07,Forced removal
19.11.19,Bio_3b,HT_LPS,Red,27,7.24,Forced removal
19.11.19,Bio_3b,HT_LPS,Red,27,7.44,Self- removal
19.11.19,Bio_3b,HT_LPS,Red,27,8,Forced removal
19.11.19,Bio_3b,Unstabbed,White,33,8.14,Forced removal
19.11.19,Bio_3b,HT_LPS,Red,27,8.18,Forced removal
19.11.19,Bio_3b,LPS,Pink,35,8.58,Forced removal
19.11.19,Bio_3b,Ringers,Blue,32,9.11,Forced removal
19.11.19,Bio_3b,LPS,Pink,35,9.2,Forced removal
19.11.19,Bio_3b,LPS,Pink,35,10.17,Assisted self-removal
19.11.19,Bio_3b,Ringers,Blue,32,10.28,Forced removal
19.11.19,Bio_3b,Ringers,Blue,32,10.28,Forced removal
19.11.19,Bio_3b,LPS,Pink,35,11,Forced removal
19.11.19,Bio_3b,Unstabbed,White,33,11.24,Assisted self-removal
19.11.19,Bio_3b,Unstabbed,White,33,11.47,Self- removal
19.11.19,Bio_3b,Unstabbed,White,33,11.58,Forced removal
19.11.19,Bio_3b,Unstabbed,White,33,12.13,Forced removal
19.11.19,Bio_3b,HT_LPS,Red,27,14.24,Forced removal
19.11.19,Bio_3b,HT_LPS,Red,27,15,Forced removal
19.11.19,Bio_3b,LPS,Pink,35,17.1,Forced removal
19.11.19,Bio_3b,LPS,Pink,35,19.3,Forced removal
19.11.19,Bio_3b,LPS,Pink,35,20.1,Forced removal
19.11.19,Bio_3b,Unstabbed,White,33,43.35,Forced removal
